time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,19.8,13.4,0.1,Çanakkale
2024-05-02,22.0,10.7,0.0,Çanakkale
2024-05-03,22.3,12.1,2.0,Çanakkale
2024-05-04,16.8,11.8,16.6,Çanakkale
2024-05-05,20.4,12.1,0.9,Çanakkale
2024-05-06,22.8,8.5,0.0,Çanakkale
2024-05-07,24.0,9.7,0.0,Çanakkale
2024-05-08,27.4,14.3,0.0,Çanakkale
2024-05-09,21.6,14.9,0.8,Çanakkale
2024-05-10,20.7,13.9,0.3,Çanakkale
2024-05-11,21.8,13.3,0.0,Çanakkale
2024-05-12,23.4,9.3,0.2,Çanakkale
2024-05-13,20.7,11.7,0.0,Çanakkale
2024-05-14,21.8,8.8,0.0,Çanakkale
2024-05-15,23.5,9.3,0.0,Çanakkale
2024-05-16,23.1,12.8,1.0,Çanakkale
2024-05-17,25.3,11.6,0.2,Çanakkale
2024-05-18,28.4,12.9,0.0,Çanakkale
2024-05-19,29.5,16.3,0.1,Çanakkale
2024-05-20,26.5,14.6,0.0,Çanakkale
2024-05-21,28.5,14.4,0.0,Çanakkale
2024-05-22,29.0,14.4,0.0,Çanakkale
2024-05-23,22.8,15.7,11.4,Çanakkale
2024-05-24,26.4,15.2,0.4,Çanakkale
2024-05-25,27.2,15.2,0.1,Çanakkale
2024-05-26,24.9,15.8,0.1,Çanakkale
2024-05-27,25.7,13.6,0.0,Çanakkale
2024-05-28,26.0,12.3,0.0,Çanakkale
2024-05-29,27.2,15.1,0.0,Çanakkale
2024-05-30,26.6,12.8,0.0,Çanakkale
2024-05-31,27.6,15.9,0.0,Çanakkale
2024-06-01,30.3,15.8,0.0,Çanakkale
2024-06-02,32.7,19.2,0.0,Çanakkale
2024-06-03,38.9,19.0,0.0,Çanakkale
2024-06-04,33.2,20.3,0.0,Çanakkale
2024-06-05,35.0,20.1,0.0,Çanakkale
2024-06-06,35.0,20.7,0.0,Çanakkale
2024-06-07,32.5,21.9,0.0,Çanakkale
2024-06-08,32.9,19.3,0.0,Çanakkale
2024-06-09,34.1,19.1,0.0,Çanakkale
2024-06-10,37.6,18.7,0.0,Çanakkale
2024-06-11,34.6,23.0,0.0,Çanakkale
2024-06-12,38.2,21.7,0.0,Çanakkale
2024-06-13,36.5,22.8,0.0,Çanakkale
2024-06-14,35.4,22.8,0.0,Çanakkale
2024-06-15,31.7,20.0,0.0,Çanakkale
2024-06-16,33.3,18.9,0.0,Çanakkale
2024-06-17,35.8,19.9,0.0,Çanakkale
2024-06-18,34.5,22.0,0.0,Çanakkale
2024-06-19,34.7,22.2,0.0,Çanakkale
2024-06-20,35.9,21.2,0.0,Çanakkale
2024-06-21,34.1,23.1,0.0,Çanakkale
2024-06-22,32.7,21.7,0.0,Çanakkale
2024-06-23,33.9,20.9,0.0,Çanakkale
2024-06-24,33.5,21.0,0.0,Çanakkale
2024-06-25,33.5,20.6,0.0,Çanakkale
2024-06-26,31.4,22.1,0.0,Çanakkale
2024-06-27,32.6,20.9,0.0,Çanakkale
2024-06-28,32.9,20.7,0.0,Çanakkale
2024-06-29,32.1,22.3,0.0,Çanakkale
2024-06-30,33.7,20.7,0.0,Çanakkale
2024-07-01,33.8,21.0,0.0,Çanakkale
2024-07-02,38.6,19.8,0.0,Çanakkale
2024-07-03,34.0,23.4,0.2,Çanakkale
2024-07-04,30.9,22.0,1.3,Çanakkale
2024-07-05,30.4,20.0,2.9,Çanakkale
2024-07-06,33.3,20.9,0.0,Çanakkale
2024-07-07,33.5,21.8,0.0,Çanakkale
2024-07-08,36.0,22.3,0.0,Çanakkale
2024-07-09,39.0,24.1,0.0,Çanakkale
2024-07-10,38.2,25.4,0.0,Çanakkale
2024-07-11,35.7,24.8,1.9,Çanakkale
2024-07-12,35.6,23.3,0.0,Çanakkale
2024-07-13,37.5,23.1,0.5,Çanakkale
2024-07-14,37.1,23.1,0.0,Çanakkale
2024-07-15,37.3,21.3,0.0,Çanakkale
2024-07-16,37.5,22.5,0.0,Çanakkale
2024-07-17,38.2,25.2,0.0,Çanakkale
2024-07-18,39.6,25.6,0.0,Çanakkale
2024-07-19,38.3,26.2,0.1,Çanakkale
2024-07-20,36.7,25.2,0.0,Çanakkale
2024-07-21,39.0,24.3,0.0,Çanakkale
2024-07-22,40.2,24.3,0.0,Çanakkale
2024-07-23,36.8,26.2,0.0,Çanakkale
2024-07-24,35.1,24.4,0.0,Çanakkale
2024-07-25,31.9,24.5,3.3,Çanakkale
2024-07-26,32.7,21.3,0.0,Çanakkale
2024-07-27,34.0,20.3,0.2,Çanakkale
2024-07-28,33.6,22.1,0.0,Çanakkale
2024-07-29,37.1,23.4,0.0,Çanakkale
2024-07-30,33.5,24.3,0.2,Çanakkale
2024-07-31,32.7,22.6,0.0,Çanakkale
2024-08-01,32.7,21.9,0.0,Çanakkale
2024-08-02,35.9,20.0,0.0,Çanakkale
2024-08-03,38.2,19.5,0.0,Çanakkale
2024-08-04,37.6,23.1,0.0,Çanakkale
2024-08-05,31.4,24.5,2.4,Çanakkale
2024-08-06,34.6,21.7,0.0,Çanakkale
2024-08-07,33.6,23.6,0.0,Çanakkale
2024-08-08,33.1,21.9,0.0,Çanakkale
2024-08-09,33.8,22.2,0.0,Çanakkale
2024-08-10,34.6,23.0,1.0,Çanakkale
2024-08-11,34.4,22.7,0.0,Çanakkale
2024-08-12,34.2,23.6,0.0,Çanakkale
2024-08-13,36.9,23.0,0.0,Çanakkale
2024-08-14,36.1,23.5,0.0,Çanakkale
2024-08-15,35.9,24.8,0.0,Çanakkale
2024-08-16,34.0,23.2,0.0,Çanakkale
2024-08-17,33.7,23.2,0.0,Çanakkale
2024-08-18,33.5,22.2,0.0,Çanakkale
2024-08-19,36.1,20.3,0.0,Çanakkale
2024-08-20,36.1,22.0,0.0,Çanakkale
2024-08-21,33.6,23.3,5.2,Çanakkale
2024-08-22,37.0,22.0,0.0,Çanakkale
2024-08-23,36.1,23.0,0.0,Çanakkale
2024-08-24,34.9,23.7,0.0,Çanakkale
2024-08-25,34.4,21.8,0.0,Çanakkale
2024-08-26,34.4,23.8,0.0,Çanakkale
2024-08-27,30.7,23.2,0.6,Çanakkale
2024-08-28,33.3,21.0,0.3,Çanakkale
2024-08-29,32.3,20.2,0.4,Çanakkale
2024-08-30,31.9,21.4,0.7,Çanakkale
2024-08-31,30.8,21.6,2.7,Çanakkale
2024-09-01,27.2,20.5,7.3,Çanakkale
2024-09-02,30.3,20.8,0.2,Çanakkale
2024-09-03,32.2,20.2,0.0,Çanakkale
2024-09-04,32.5,20.6,0.0,Çanakkale
2024-09-05,33.1,21.7,0.0,Çanakkale
2024-09-06,34.8,20.8,0.0,Çanakkale
2024-09-07,31.5,21.4,0.0,Çanakkale
2024-09-08,30.4,21.2,0.0,Çanakkale
2024-09-09,31.9,20.3,0.0,Çanakkale
2024-09-10,29.8,18.9,7.6,Çanakkale
2024-09-11,25.5,20.1,12.6,Çanakkale
2024-09-12,27.8,19.1,0.3,Çanakkale
2024-09-13,30.3,19.2,0.0,Çanakkale
2024-09-14,28.9,22.1,1.2,Çanakkale
2024-09-15,25.6,19.4,0.3,Çanakkale
2024-09-16,26.2,17.2,0.3,Çanakkale
2024-09-17,27.6,16.6,0.1,Çanakkale
2024-09-18,27.0,18.5,0.7,Çanakkale
2024-09-19,27.1,18.5,0.1,Çanakkale
2024-09-20,26.5,17.4,1.2,Çanakkale
2024-09-21,25.8,18.0,1.8,Çanakkale
2024-09-22,27.3,15.1,0.0,Çanakkale
2024-09-23,28.2,14.2,0.0,Çanakkale
2024-09-24,28.7,14.8,0.0,Çanakkale
2024-09-25,30.1,13.8,0.0,Çanakkale
2024-09-26,31.2,15.6,0.0,Çanakkale
2024-09-27,32.2,15.7,0.0,Çanakkale
2024-09-28,31.7,16.5,0.0,Çanakkale
2024-09-29,29.1,17.5,4.0,Çanakkale
2024-09-30,21.9,16.7,0.3,Çanakkale
2024-10-01,22.2,14.7,0.0,Çanakkale
2024-10-02,24.5,11.1,0.0,Çanakkale
2024-10-03,25.7,9.7,0.0,Çanakkale
2024-10-04,29.8,17.2,0.0,Çanakkale
2024-10-05,31.7,19.5,0.2,Çanakkale
2024-10-06,26.9,20.0,3.0,Çanakkale
2024-10-07,27.1,16.7,0.1,Çanakkale
2024-10-08,28.2,16.3,0.0,Çanakkale
2024-10-09,25.8,14.1,0.0,Çanakkale
2024-10-10,27.8,19.8,0.0,Çanakkale
2024-10-11,30.4,20.2,0.0,Çanakkale
2024-10-12,24.0,18.5,26.5,Çanakkale
2024-10-13,22.1,15.2,0.0,Çanakkale
2024-10-14,23.7,12.5,0.0,Çanakkale
2024-10-15,24.2,13.7,0.0,Çanakkale
2024-10-16,24.0,14.5,0.0,Çanakkale
2024-10-17,19.0,11.2,0.0,Çanakkale
2024-10-18,17.8,10.5,0.0,Çanakkale
2024-10-19,18.3,8.6,0.0,Çanakkale
2024-10-20,19.9,11.1,0.0,Çanakkale
2024-10-21,18.8,10.7,0.0,Çanakkale
2024-10-22,19.8,10.6,0.0,Çanakkale
2024-10-23,20.8,12.0,0.0,Çanakkale
2024-10-24,20.9,12.3,0.0,Çanakkale
2024-10-25,19.9,13.2,0.0,Çanakkale
2024-10-26,20.4,10.6,0.0,Çanakkale
2024-10-27,21.6,12.4,0.0,Çanakkale
2024-10-28,23.5,9.9,0.0,Çanakkale
2024-10-29,23.0,12.2,0.0,Çanakkale
2024-10-30,20.8,13.1,0.0,Çanakkale
2024-10-31,20.3,11.2,0.0,Çanakkale
2024-11-01,20.4,12.1,0.0,Çanakkale
2024-11-02,21.9,9.4,0.0,Çanakkale
2024-11-03,18.3,10.0,0.0,Çanakkale
2024-11-04,16.6,8.4,0.0,Çanakkale
2024-11-05,16.3,8.5,0.0,Çanakkale
2024-11-06,15.9,8.7,0.0,Çanakkale
2024-11-07,18.0,9.3,0.0,Çanakkale
2024-11-08,18.3,10.8,0.0,Çanakkale
2024-11-09,17.9,9.7,0.0,Çanakkale
2024-11-10,13.2,7.2,0.0,Çanakkale
2024-11-11,15.4,7.2,0.0,Çanakkale
2024-11-12,17.9,10.8,0.0,Çanakkale
2024-11-13,17.7,12.7,4.4,Çanakkale
2024-11-14,19.2,12.3,6.0,Çanakkale
2024-11-15,15.2,9.9,5.5,Çanakkale
2024-11-16,11.6,9.0,4.3,Çanakkale
2024-11-17,12.9,7.9,1.5,Çanakkale
2024-11-18,15.2,6.7,0.0,Çanakkale
2024-11-19,17.2,3.8,0.0,Çanakkale
2024-11-20,17.8,6.4,0.1,Çanakkale
2024-11-21,20.3,10.0,1.5,Çanakkale
2024-11-22,20.0,5.2,0.0,Çanakkale
2024-11-23,20.1,5.8,12.4,Çanakkale
2024-11-24,9.5,1.7,0.0,Çanakkale
2024-11-25,11.1,-0.5,0.0,Çanakkale
2024-11-26,11.3,-0.4,0.0,Çanakkale
2024-11-27,16.0,2.5,0.1,Çanakkale
2024-11-28,15.6,3.1,0.0,Çanakkale
2024-11-29,16.5,3.1,0.0,Çanakkale
