time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,22.0,14.4,0.2,Çankırı
2024-05-02,18.9,12.7,11.7,Çankırı
2024-05-03,17.3,9.7,1.0,Çankırı
2024-05-04,17.7,8.7,2.4,Çankırı
2024-05-05,17.8,6.7,0.3,Çankırı
2024-05-06,18.2,2.1,0.0,Çankırı
2024-05-07,21.2,4.6,0.0,Çankırı
2024-05-08,23.7,5.6,0.0,Çankırı
2024-05-09,24.3,9.6,0.6,Çankırı
2024-05-10,26.5,12.0,0.3,Çankırı
2024-05-11,22.7,11.1,2.2,Çankırı
2024-05-12,16.5,12.0,0.6,Çankırı
2024-05-13,18.9,7.8,12.0,Çankırı
2024-05-14,16.6,5.0,0.1,Çankırı
2024-05-15,19.0,4.5,0.0,Çankırı
2024-05-16,20.0,7.3,0.4,Çankırı
2024-05-17,22.7,7.7,0.0,Çankırı
2024-05-18,26.6,10.9,0.1,Çankırı
2024-05-19,26.4,11.1,0.0,Çankırı
2024-05-20,26.3,15.5,0.6,Çankırı
2024-05-21,26.5,14.4,0.4,Çankırı
2024-05-22,31.0,13.4,0.0,Çankırı
2024-05-23,29.6,16.1,1.0,Çankırı
2024-05-24,22.5,14.5,32.1,Çankırı
2024-05-25,22.4,12.0,4.5,Çankırı
2024-05-26,23.7,10.8,0.0,Çankırı
2024-05-27,21.5,11.3,2.6,Çankırı
2024-05-28,22.4,11.6,4.5,Çankırı
2024-05-29,23.2,10.3,0.0,Çankırı
2024-05-30,22.8,13.6,5.9,Çankırı
2024-05-31,22.4,12.4,19.3,Çankırı
2024-06-01,27.0,11.5,0.0,Çankırı
2024-06-02,30.7,15.1,0.0,Çankırı
2024-06-03,31.0,15.8,0.5,Çankırı
2024-06-04,32.6,16.4,0.0,Çankırı
2024-06-05,34.0,18.2,0.0,Çankırı
2024-06-06,33.0,18.0,0.0,Çankırı
2024-06-07,29.3,17.8,2.7,Çankırı
2024-06-08,24.1,17.4,26.0,Çankırı
2024-06-09,27.7,14.1,0.0,Çankırı
2024-06-10,29.0,14.4,0.0,Çankırı
2024-06-11,34.0,16.7,0.0,Çankırı
2024-06-12,34.4,18.8,0.0,Çankırı
2024-06-13,34.5,19.0,0.0,Çankırı
2024-06-14,35.1,20.7,1.9,Çankırı
2024-06-15,27.9,18.1,0.0,Çankırı
2024-06-16,29.5,14.7,0.0,Çankırı
2024-06-17,32.0,15.8,0.0,Çankırı
2024-06-18,33.1,18.0,0.0,Çankırı
2024-06-19,33.4,18.6,0.0,Çankırı
2024-06-20,34.5,18.2,0.0,Çankırı
2024-06-21,33.5,17.9,0.0,Çankırı
2024-06-22,34.6,17.6,0.0,Çankırı
2024-06-23,35.6,15.6,0.0,Çankırı
