time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.4,11.3,4.0,Çorum
2024-05-02,18.4,12.6,13.0,Çorum
2024-05-03,14.1,9.8,4.7,Çorum
2024-05-04,18.0,8.3,3.2,Çorum
2024-05-05,15.8,3.9,0.1,Çorum
2024-05-06,16.2,0.7,0.0,Çorum
2024-05-07,19.0,2.5,0.0,Çorum
2024-05-08,22.3,7.1,0.0,Çorum
2024-05-09,25.0,8.2,0.0,Çorum
2024-05-10,23.3,10.4,0.5,Çorum
2024-05-11,20.8,10.0,11.9,Çorum
2024-05-12,16.0,8.5,15.5,Çorum
2024-05-13,16.1,5.7,5.3,Çorum
2024-05-14,12.4,4.8,6.4,Çorum
2024-05-15,16.9,2.4,0.0,Çorum
2024-05-16,16.1,3.9,1.1,Çorum
2024-05-17,19.7,5.1,0.0,Çorum
2024-05-18,23.2,8.0,0.1,Çorum
2024-05-19,23.5,10.6,0.2,Çorum
2024-05-20,24.1,11.7,0.5,Çorum
2024-05-21,24.2,9.8,0.0,Çorum
2024-05-22,27.0,10.1,0.0,Çorum
2024-05-23,27.1,14.0,0.0,Çorum
2024-05-24,21.0,11.6,18.0,Çorum
2024-05-25,21.2,9.5,3.7,Çorum
2024-05-26,21.8,8.5,0.4,Çorum
2024-05-27,20.0,9.1,5.8,Çorum
2024-05-28,21.2,10.7,7.2,Çorum
2024-05-29,22.9,11.7,0.3,Çorum
2024-05-30,24.9,10.9,1.8,Çorum
2024-05-31,22.1,11.4,8.9,Çorum
2024-06-01,25.9,10.7,0.0,Çorum
2024-06-02,29.3,13.0,0.0,Çorum
2024-06-03,30.0,15.2,0.0,Çorum
2024-06-04,31.6,16.0,0.0,Çorum
2024-06-05,32.8,18.6,0.0,Çorum
2024-06-06,31.8,16.5,0.0,Çorum
2024-06-07,27.3,16.3,0.1,Çorum
2024-06-08,22.9,15.7,8.5,Çorum
2024-06-09,26.7,13.1,0.5,Çorum
2024-06-10,29.5,12.3,0.4,Çorum
2024-06-11,32.5,15.2,0.0,Çorum
2024-06-12,35.2,17.9,0.0,Çorum
2024-06-13,35.4,18.5,0.0,Çorum
2024-06-14,34.3,18.9,0.0,Çorum
2024-06-15,29.4,17.6,0.0,Çorum
2024-06-16,30.0,15.6,0.0,Çorum
2024-06-17,31.8,15.4,0.0,Çorum
2024-06-18,31.1,15.2,0.0,Çorum
2024-06-19,30.7,14.3,0.0,Çorum
2024-06-20,32.3,14.2,0.0,Çorum
2024-06-21,30.2,15.2,0.0,Çorum
2024-06-22,29.9,13.7,0.0,Çorum
2024-06-23,32.3,11.7,0.0,Çorum
2024-06-24,35.0,13.7,0.0,Çorum
2024-06-25,33.3,16.0,0.0,Çorum
2024-06-26,28.5,16.2,0.0,Çorum
2024-06-27,29.9,11.5,0.0,Çorum
2024-06-28,30.8,13.3,0.0,Çorum
2024-06-29,27.0,13.6,0.0,Çorum
2024-06-30,28.1,13.9,0.0,Çorum
2024-07-01,30.0,14.2,0.0,Çorum
2024-07-02,31.4,13.7,0.0,Çorum
2024-07-03,34.6,16.2,0.0,Çorum
2024-07-04,36.0,19.7,0.0,Çorum
2024-07-05,32.1,17.8,5.4,Çorum
2024-07-06,26.9,15.9,0.9,Çorum
2024-07-07,30.2,16.9,0.1,Çorum
2024-07-08,31.0,16.6,0.2,Çorum
2024-07-09,29.1,17.2,2.7,Çorum
2024-07-10,30.1,17.5,0.4,Çorum
2024-07-11,31.4,17.5,1.7,Çorum
2024-07-12,30.5,17.2,0.1,Çorum
2024-07-13,29.4,17.3,4.4,Çorum
2024-07-14,30.2,17.2,0.0,Çorum
2024-07-15,31.1,16.8,0.0,Çorum
2024-07-16,31.1,16.7,0.2,Çorum
2024-07-17,32.2,18.0,12.6,Çorum
2024-07-18,31.3,17.8,0.0,Çorum
2024-07-19,31.7,17.8,0.0,Çorum
2024-07-20,31.4,16.5,0.0,Çorum
2024-07-21,32.7,17.1,0.0,Çorum
2024-07-22,33.7,18.9,0.0,Çorum
2024-07-23,34.6,18.0,0.0,Çorum
2024-07-24,32.2,18.5,0.1,Çorum
2024-07-25,30.9,17.6,0.0,Çorum
2024-07-26,28.1,19.0,6.7,Çorum
2024-07-27,26.2,16.3,2.0,Çorum
2024-07-28,29.2,15.6,0.0,Çorum
2024-07-29,29.6,12.7,0.0,Çorum
2024-07-30,30.0,13.4,0.0,Çorum
2024-07-31,29.4,14.9,0.0,Çorum
