time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,27.7,15.6,0.0,İzmir
2024-05-02,25.2,13.7,0.0,İzmir
2024-05-03,25.5,14.8,0.4,İzmir
2024-05-04,22.5,14.1,6.3,İzmir
2024-05-05,22.8,12.2,0.0,İzmir
2024-05-06,25.0,11.0,0.0,İzmir
2024-05-07,26.7,11.4,0.0,İzmir
2024-05-08,31.2,15.4,0.0,İzmir
2024-05-09,27.1,18.0,0.0,İzmir
2024-05-10,26.6,15.9,4.6,İzmir
2024-05-11,23.6,15.1,0.9,İzmir
2024-05-12,26.7,12.3,0.0,İzmir
2024-05-13,25.3,13.6,0.0,İzmir
2024-05-14,25.2,11.1,0.0,İzmir
2024-05-15,25.2,12.1,0.0,İzmir
2024-05-16,25.9,14.2,0.0,İzmir
2024-05-17,30.6,15.6,0.0,İzmir
2024-05-18,29.5,17.9,0.0,İzmir
2024-05-19,33.1,19.4,0.1,İzmir
2024-05-20,30.7,18.7,0.0,İzmir
2024-05-21,32.4,18.5,0.0,İzmir
2024-05-22,34.7,20.8,0.0,İzmir
2024-05-23,24.7,18.9,3.3,İzmir
2024-05-24,28.0,16.4,0.2,İzmir
2024-05-25,30.1,16.6,0.0,İzmir
2024-05-26,28.8,17.6,37.2,İzmir
2024-05-27,26.8,15.8,0.0,İzmir
2024-05-28,27.0,15.0,0.0,İzmir
2024-05-29,27.4,15.5,0.0,İzmir
2024-05-30,28.9,16.6,0.0,İzmir
2024-05-31,29.7,17.3,0.0,İzmir
2024-06-01,33.9,18.7,0.0,İzmir
2024-06-02,33.3,20.1,0.0,İzmir
2024-06-03,36.6,20.5,0.0,İzmir
2024-06-04,37.8,22.6,0.0,İzmir
2024-06-05,37.3,24.3,0.0,İzmir
2024-06-06,36.4,22.8,0.0,İzmir
2024-06-07,36.5,24.9,0.0,İzmir
2024-06-08,36.2,22.9,0.0,İzmir
2024-06-09,37.0,22.2,0.0,İzmir
2024-06-10,36.3,22.6,0.0,İzmir
2024-06-11,40.8,23.5,0.0,İzmir
2024-06-12,42.6,25.3,0.0,İzmir
2024-06-13,42.7,27.6,0.0,İzmir
