time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,25.0,18.0,1.1,Şanlıurfa
2024-05-02,25.2,16.7,5.8,Şanlıurfa
2024-05-03,23.6,15.2,1.4,Şanlıurfa
2024-05-04,24.2,14.1,0.1,Şanlıurfa
2024-05-05,20.7,12.8,3.7,Şanlıurfa
2024-05-06,18.6,9.8,3.0,Şanlıurfa
2024-05-07,20.4,10.5,0.2,Şanlıurfa
2024-05-08,24.3,11.0,0.0,Şanlıurfa
2024-05-09,26.6,14.4,0.0,Şanlıurfa
2024-05-10,30.6,15.8,0.0,Şanlıurfa
2024-05-11,24.6,17.1,4.9,Şanlıurfa
2024-05-12,25.7,14.6,1.2,Şanlıurfa
2024-05-13,20.3,13.3,10.3,Şanlıurfa
2024-05-14,24.3,12.3,0.0,Şanlıurfa
2024-05-15,24.0,13.1,0.0,Şanlıurfa
2024-05-16,27.0,13.1,0.0,Şanlıurfa
2024-05-17,28.2,15.8,0.0,Şanlıurfa
2024-05-18,30.3,16.3,0.0,Şanlıurfa
2024-05-19,33.8,18.3,0.0,Şanlıurfa
2024-05-20,32.0,20.8,0.0,Şanlıurfa
2024-05-21,32.9,19.9,0.9,Şanlıurfa
2024-05-22,33.5,22.5,0.0,Şanlıurfa
2024-05-23,31.6,20.8,0.1,Şanlıurfa
2024-05-24,30.9,18.6,0.0,Şanlıurfa
2024-05-25,27.1,15.5,0.0,Şanlıurfa
2024-05-26,29.3,16.9,0.0,Şanlıurfa
2024-05-27,31.6,17.6,2.0,Şanlıurfa
2024-05-28,32.1,20.3,0.0,Şanlıurfa
2024-05-29,32.4,17.5,0.0,Şanlıurfa
2024-05-30,34.6,20.6,0.0,Şanlıurfa
2024-05-31,32.2,18.2,0.0,Şanlıurfa
2024-06-01,32.6,19.6,0.0,Şanlıurfa
2024-06-02,35.5,21.6,0.0,Şanlıurfa
2024-06-03,37.4,22.3,0.0,Şanlıurfa
2024-06-04,39.2,23.7,0.0,Şanlıurfa
2024-06-05,39.8,24.9,0.0,Şanlıurfa
2024-06-06,40.1,26.1,0.0,Şanlıurfa
2024-06-07,40.5,27.0,0.0,Şanlıurfa
2024-06-08,39.5,26.6,0.0,Şanlıurfa
2024-06-09,35.8,24.9,0.0,Şanlıurfa
2024-06-10,34.9,23.4,0.0,Şanlıurfa
2024-06-11,35.8,22.7,0.0,Şanlıurfa
2024-06-12,39.0,26.7,0.0,Şanlıurfa
2024-06-13,39.7,27.4,0.0,Şanlıurfa
2024-06-14,39.2,27.4,0.0,Şanlıurfa
2024-06-15,40.4,28.8,0.0,Şanlıurfa
2024-06-16,39.2,25.1,0.0,Şanlıurfa
2024-06-17,38.8,24.8,0.0,Şanlıurfa
2024-06-18,40.1,24.5,0.0,Şanlıurfa
2024-06-19,42.6,28.1,0.0,Şanlıurfa
2024-06-20,43.7,28.6,0.0,Şanlıurfa
2024-06-21,42.3,28.2,0.0,Şanlıurfa
2024-06-22,41.0,28.5,0.0,Şanlıurfa
2024-06-23,39.0,26.5,0.0,Şanlıurfa
2024-06-24,41.8,26.1,0.0,Şanlıurfa
2024-06-25,42.5,25.9,0.0,Şanlıurfa
