time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,20.6,12.5,2.9,Şırnak
2024-05-02,19.2,11.9,14.9,Şırnak
2024-05-03,17.5,10.6,28.2,Şırnak
2024-05-04,16.4,9.3,26.0,Şırnak
2024-05-05,16.7,7.3,51.0,Şırnak
2024-05-06,15.1,8.0,13.8,Şırnak
2024-05-07,12.6,6.5,6.7,Şırnak
2024-05-08,14.8,7.4,8.0,Şırnak
2024-05-09,19.3,6.1,0.0,Şırnak
2024-05-10,22.1,10.2,0.0,Şırnak
2024-05-11,19.2,12.4,15.1,Şırnak
2024-05-12,20.9,10.0,8.9,Şırnak
2024-05-13,16.5,10.9,11.6,Şırnak
2024-05-14,15.3,9.6,6.5,Şırnak
2024-05-15,18.8,8.4,0.6,Şırnak
2024-05-16,19.9,8.6,0.3,Şırnak
2024-05-17,19.2,8.5,0.0,Şırnak
2024-05-18,20.9,7.5,0.0,Şırnak
2024-05-19,21.3,9.7,2.2,Şırnak
2024-05-20,22.5,12.5,4.3,Şırnak
2024-05-21,22.9,13.8,3.7,Şırnak
2024-05-22,22.8,11.5,1.8,Şırnak
2024-05-23,24.0,10.4,1.7,Şırnak
2024-05-24,23.6,11.8,3.1,Şırnak
2024-05-25,21.7,11.9,0.3,Şırnak
2024-05-26,20.3,11.1,17.5,Şırnak
2024-05-27,24.3,11.8,0.1,Şırnak
2024-05-28,27.1,11.3,1.5,Şırnak
2024-05-29,26.4,16.3,0.2,Şırnak
2024-05-30,30.6,13.9,1.0,Şırnak
2024-05-31,29.1,15.6,0.0,Şırnak
2024-06-01,25.9,11.9,0.0,Şırnak
2024-06-02,28.4,12.1,0.0,Şırnak
2024-06-03,30.3,13.7,0.0,Şırnak
2024-06-04,31.2,14.8,0.0,Şırnak
2024-06-05,31.2,14.6,0.0,Şırnak
2024-06-06,31.7,14.9,0.0,Şırnak
2024-06-07,32.6,16.4,0.0,Şırnak
2024-06-08,32.8,16.7,3.1,Şırnak
2024-06-09,30.5,16.0,0.6,Şırnak
2024-06-10,30.6,16.7,0.3,Şırnak
2024-06-11,29.8,14.2,0.0,Şırnak
2024-06-12,30.8,15.2,0.0,Şırnak
2024-06-13,32.4,16.1,0.0,Şırnak
2024-06-14,32.5,15.7,0.0,Şırnak
2024-06-15,32.5,15.9,0.0,Şırnak
2024-06-16,32.6,16.9,0.5,Şırnak
2024-06-17,33.3,18.8,0.0,Şırnak
2024-06-18,34.3,15.9,0.0,Şırnak
2024-06-19,34.9,18.9,0.0,Şırnak
2024-06-20,35.4,20.2,0.0,Şırnak
2024-06-21,35.8,21.0,0.0,Şırnak
2024-06-22,35.7,18.7,0.0,Şırnak
2024-06-23,35.1,18.9,0.0,Şırnak
2024-06-24,33.1,18.3,0.0,Şırnak
2024-06-25,35.0,18.4,0.0,Şırnak
2024-06-26,34.4,21.8,0.0,Şırnak
2024-06-27,33.6,17.0,0.0,Şırnak
2024-06-28,33.8,17.8,0.0,Şırnak
2024-06-29,33.9,19.3,0.0,Şırnak
2024-06-30,33.7,20.2,0.1,Şırnak
2024-07-01,31.3,20.5,0.0,Şırnak
2024-07-02,31.1,17.1,0.0,Şırnak
2024-07-03,31.5,20.4,0.0,Şırnak
2024-07-04,34.4,16.9,0.0,Şırnak
2024-07-05,36.7,18.7,0.0,Şırnak
2024-07-06,35.9,19.6,0.0,Şırnak
2024-07-07,33.3,22.0,0.0,Şırnak
2024-07-08,33.1,20.3,0.0,Şırnak
2024-07-09,34.6,20.5,0.0,Şırnak
2024-07-10,34.7,20.7,0.0,Şırnak
2024-07-11,36.2,19.4,0.0,Şırnak
2024-07-12,36.4,20.2,0.0,Şırnak
2024-07-13,36.1,18.7,0.0,Şırnak
2024-07-14,35.6,20.6,0.0,Şırnak
2024-07-15,34.9,23.1,0.0,Şırnak
2024-07-16,36.0,21.0,0.0,Şırnak
2024-07-17,36.4,20.6,0.0,Şırnak
2024-07-18,36.1,20.3,0.0,Şırnak
2024-07-19,36.3,21.6,0.0,Şırnak
2024-07-20,34.8,23.9,0.0,Şırnak
2024-07-21,35.0,21.8,0.0,Şırnak
2024-07-22,36.0,22.1,0.0,Şırnak
2024-07-23,36.9,22.8,0.0,Şırnak
