latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.0,35.0,1147.0,10800,Europe/Istanbul,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),snowfall (cm)
2025-02-23T00:00,-10.6,78,0.00,0.00
2025-02-23T01:00,-12.2,79,0.00,0.00
2025-02-23T02:00,-12.8,80,0.00,0.00
2025-02-23T03:00,-12.9,78,0.00,0.00
2025-02-23T04:00,-13.2,79,0.00,0.00
2025-02-23T05:00,-13.3,79,0.00,0.00
2025-02-23T06:00,-13.3,78,0.00,0.00
2025-02-23T07:00,-13.5,78,0.00,0.00
2025-02-23T08:00,-12.9,78,0.00,0.00
2025-02-23T09:00,-10.7,74,0.00,0.00
2025-02-23T10:00,-9.6,68,0.00,0.00
2025-02-23T11:00,-8.5,59,0.00,0.00
2025-02-23T12:00,-7.7,56,0.00,0.00
2025-02-23T13:00,-6.9,51,0.00,0.00
2025-02-23T14:00,-6.6,52,0.10,0.00
2025-02-23T15:00,-6.5,52,0.00,0.00
2025-02-23T16:00,-6.5,52,0.00,0.07
2025-02-23T17:00,-6.7,54,0.00,0.00
2025-02-23T18:00,-7.9,64,0.00,0.00
2025-02-23T19:00,-8.8,70,0.00,0.00
2025-02-23T20:00,-8.6,72,0.00,0.00
2025-02-23T21:00,-9.4,73,0.00,0.00
2025-02-23T22:00,-11.4,72,0.00,0.00
2025-02-23T23:00,-12.0,73,0.00,0.00
2025-02-24T00:00,-12.4,73,0.00,0.00
2025-02-24T01:00,-12.4,71,0.00,0.00
2025-02-24T02:00,-12.5,72,0.00,0.00
2025-02-24T03:00,-12.7,74,0.00,0.00
2025-02-24T04:00,-12.9,76,0.00,0.00
2025-02-24T05:00,-13.1,78,0.00,0.00
2025-02-24T06:00,-13.2,81,0.00,0.00
2025-02-24T07:00,-13.3,82,0.00,0.00
2025-02-24T08:00,-12.9,84,0.00,0.00
2025-02-24T09:00,-10.7,77,0.00,0.00
2025-02-24T10:00,-9.8,68,0.00,0.00
2025-02-24T11:00,-8.9,63,0.00,0.00
2025-02-24T12:00,-8.0,59,0.00,0.00
2025-02-24T13:00,-7.4,56,0.00,0.00
2025-02-24T14:00,-7.2,49,0.00,0.00
2025-02-24T15:00,-6.6,43,0.00,0.00
2025-02-24T16:00,-5.8,47,0.00,0.00
2025-02-24T17:00,-5.8,54,0.00,0.00
2025-02-24T18:00,-7.5,62,0.00,0.00
2025-02-24T19:00,-8.8,65,0.00,0.00
2025-02-24T20:00,-9.2,67,0.00,0.00
2025-02-24T21:00,-9.2,68,0.00,0.00
2025-02-24T22:00,-9.5,71,0.00,0.00
2025-02-24T23:00,-9.7,72,0.00,0.00
2025-02-25T00:00,-10.0,73,0.00,0.00
2025-02-25T01:00,-10.5,76,0.00,0.00
2025-02-25T02:00,-10.8,77,0.00,0.00
2025-02-25T03:00,-11.5,78,0.00,0.00
2025-02-25T04:00,-12.0,79,0.00,0.00
2025-02-25T05:00,-12.0,78,0.00,0.00
2025-02-25T06:00,-12.1,78,0.00,0.00
2025-02-25T07:00,-12.3,78,0.00,0.00
2025-02-25T08:00,-11.8,78,0.00,0.00
2025-02-25T09:00,-10.0,71,0.00,0.00
2025-02-25T10:00,-8.3,65,0.00,0.00
2025-02-25T11:00,-6.6,59,0.00,0.00
2025-02-25T12:00,-5.0,53,0.00,0.00
2025-02-25T13:00,-3.4,45,0.00,0.00
2025-02-25T14:00,-2.2,41,0.00,0.00
2025-02-25T15:00,-1.8,45,0.00,0.00
2025-02-25T16:00,-1.3,48,0.00,0.00
2025-02-25T17:00,-2.0,54,0.00,0.00
2025-02-25T18:00,-4.7,63,0.00,0.00
2025-02-25T19:00,-6.3,64,0.00,0.00
2025-02-25T20:00,-6.1,63,0.00,0.00
2025-02-25T21:00,-6.3,66,0.00,0.00
2025-02-25T22:00,-6.5,68,0.00,0.00
2025-02-25T23:00,-6.8,68,0.00,0.00
2025-02-26T00:00,-7.1,70,0.00,0.00
2025-02-26T01:00,-7.3,71,0.00,0.00
2025-02-26T02:00,-7.5,72,0.00,0.00
2025-02-26T03:00,-7.0,73,0.00,0.00
2025-02-26T04:00,-6.9,72,0.00,0.00
2025-02-26T05:00,-6.9,71,0.00,0.00
2025-02-26T06:00,-7.4,72,0.00,0.00
2025-02-26T07:00,-7.7,73,0.00,0.00
2025-02-26T08:00,-6.7,74,0.00,0.00
2025-02-26T09:00,-4.8,75,0.00,0.00
2025-02-26T10:00,-3.2,76,0.00,0.00
2025-02-26T11:00,-1.6,75,0.00,0.00
2025-02-26T12:00,-0.6,75,0.00,0.00
2025-02-26T13:00,-0.1,73,0.00,0.00
2025-02-26T14:00,0.2,77,0.00,0.00
